,Store,Address,City,State
,Raley's-Rohnert Park,100 Raley's Town Center,Rohnert Park,California
,Raley's-Rohnert Park,100 Raley's Town Center,Rohnert Park,California
,Raley's-Santa Rosa,1407 Fulton Rd.,Santa Rosa,California
,Raley's-Santa Rosa,1407 Fulton Rd.,Santa Rosa,California
,Raley's-Windsor,8852 Lakewood Dr.,Windsor,California
,Ralph's-Sonoma,201 W. Napa St,Sonoma,California
,Ramazzotti,,Geyserville,California
,Rancho Mendoza - Piner Rd,1201 Piner Rd.,Santa Rosa,California
,Rancho Mendoza - Sebastopol Rd,640 Sebastopol Rd.,Santa Rosa,California
,Rialto Cinemas Cerrito,P.O. Box 520,Sebastopol,California
,Rialto Cinemas Sebastopol,P.O. Box 520,Sebastopol,California
,Safeway #1265-Yulupa Ave.,2785 Yulupa Ave.,Santa Rosa,California
,Safeway #1265-Yulupa Ave.,2785 Yulupa Ave.,Santa Rosa,California
,Safeway #1562-4th St.S.Rosa,2751 Fourth Street,Santa Rosa,California
,Safeway #1562-4th St.S.Rosa,2751 Fourth Street,Santa Rosa,California
,Safeway #1950-Guerneville,16405 River Road,Guerneville,California
,Safeway #1950-Guerneville,16405 River Road,Guerneville,California
,Safeway #2456-Son Mtn Pkwy,701 Sonoma Mountain Pkwy,Petaluma,California
,Safeway #2456-Son Mtn Pkwy,701 Sonoma Mountain Pkwy,Petaluma,California
,Safeway #2457-W. College Ave,1211 W. College Ave.,Santa Rosa,California
,Safeway #2457-W. College Ave.,1211 W. College Ave.,Santa Rosa,California
,Safeway #713-Calistoga Rd.,100 Calistoga Rd.,Santa Rosa,California
,Safeway #713-Calistoga Rd.,100 Calistoga Rd.,Santa Rosa,California
,"Safeway #7956-Marlow, S.Rosa",1799 Marlow Road,Santa Rosa,California
,"Safeway #7956-Marlow, S.Rosa",1799 Marlow Road,Santa Rosa,California
,Safeway #911-Sonoma,477 W. Napa St.,Sonoma,California
,Safeway #911-Sonoma,477 W. Napa St.,Sonoma,California
,Safeway #918-Rohnert Park,6340 Commerce Blvd.,Rohnert Park,California
,Safeway #918-Rohnert Park,6340 Commerce Blvd.,Rohnert Park,California
,Safeway #933-Sebastopol,406 N Main St.,Sebastopol,California
,Safeway #933-Sebastopol,406 N Main St.,Sebastopol,California
,Safeway#3011-S. McDowell,389 So. McDowell Blvd.,Petaluma,California
,Safeway#3011-S. McDowell,389 So. McDowell Blvd.,Petaluma,California
,Sequoia Market,1382 Gravenstein Hwy. South,Sebastopol,California
