Store,Address,City,State,Full Address,lat,lon
United Market - San Anselmo,100 Red Hill Ave,San Anselmo,California,"100 Red Hill Ave, San Anselmo, California",37.9770437,-122.5530946
United Market - San Rafael,515 3rd St.,San Rafael,California,"515 3rd St., San Rafael, California",37.9705627,-122.5198599
United SA -Deli/Bakery/Produce,100 Red Hill Ave,San Anselmo,California,"100 Red Hill Ave, San Anselmo, California",37.9770437,-122.5530946
United SR -Deli/Bakery/Produce,515 3rd St.,San Rafael,California,"515 3rd St., San Rafael, California",37.9705627,-122.5198599
Whale of a Deli,997 Mesa Road,Point Reyes Station,California,"997 Mesa Road, Point Reyes Station, California",38.0671237,-122.804006
Woodacre Market & Deli,175 San Geronimo Valley Dr,Woodacre,California,"175 San Geronimo Valley Dr, Woodacre, California",38.0129269,-122.6435006
Woodland Gas,1 Kent Avenue,Kentfield,California,"1 Kent Avenue, Kentfield, California",37.9514419,-122.5499984
Woodlands - Drop Ship,735 College Ave,Kentfield,California,"735 College Ave, Kentfield, California",37.9523066,-122.5500898
Woodlands #2 - Tiburon,1550 Tiburon Blvd,Tiburon,California,"1550 Tiburon Blvd, Tiburon, California",37.8753884,-122.4606121
Woodlands #2/Tib. - Drop Ship,1551 Tiburon Blvd,Tiburon,California,"1551 Tiburon Blvd, Tiburon, California",37.8759802,-122.4600966
Woodlands Market,735 College Ave,Kentfield,California,"735 College Ave, Kentfield, California",37.9523066,-122.5500898
Woodlands Meat #2 Tiburon,1550 Tiburon Blvd,Belvedere Tiburon,California,"1550 Tiburon Blvd, Belvedere Tiburon, California",37.8753884,-122.4606121
Woodlands Meat Dpt.,735 College Ave.,Greenbrae,California,"735 College Ave., Greenbrae, California",37.9523066,-122.5500898
Zee's Deli Wine & Spirits,913 Sir Francis Drake Blvd.,Kentfield,California,"913 Sir Francis Drake Blvd., Kentfield, California",37.9538813,-122.5457812
ZSeven Eleven-Sausalito,1901 Bridgeway Blvd.,Sausalito,California,"1901 Bridgeway Blvd., Sausalito, California",37.861564,-122.4943541
Beringer Vineyards,2000 Main St,St. Helena,California,"2000 Main St, St. Helena, California",38.5110701,-122.4807557
Brown's Valley Meat Dept.,3263 Brown's Valley Rd.,Napa,California,"3263 Brown's Valley Rd., Napa, California",38.3043502,-122.3296176
Brown's Valley Mkt.,3263 Brown's Valley Rd.,Napa,California,"3263 Brown's Valley Rd., Napa, California",38.3043502,-122.3296176
Cal Mart-Calistoga,1491 Lincoln Ave.,Calistoga,California,"1491 Lincoln Ave., Calistoga, California",38.5803165,-122.5790298
Calistoga Liquor,1102 Tubbs Lane,Calistoga,California,"1102 Tubbs Lane, Calistoga, California",38.5887974,-122.6067692
College Mercantile,One Angwin Ave.,Angwin,California,"One Angwin Ave., Angwin, California",38.570559,-122.4420866
Delta Farmers Market,2510 State Hwy 12,Isleton,California,"2510 State Hwy 12, Isleton, California",38.1542071,-121.6759418
Gary's Wine & Marketplace,607 St. Helena Hwy,St Helena,California,"607 St. Helena Hwy, St Helena, California",38.4886028,-122.4503951
Giugni's Grocery,1227 Main St.,St Helena,California,"1227 Main St., St Helena, California",38.5040202,-122.4686059
Lira's Supermarket,609 Hwy 12,Rio Vista,California,"609 Hwy 12, Rio Vista, California",38.1603388,-121.6943219
Napa Sea Ranch,3333 Cuttings Wharf Rd.,Napa,California,"3333 Cuttings Wharf Rd., Napa, California",38.2297456,-122.3071833
Napa Valley Marina,1200 Milton Rd.,Napa,California,"1200 Milton Rd., Napa, California",38.2226976,-122.3141841
Oakville Grocery - Oakville,7856 St Helena Hwy,Oakville,California,"7856 St Helena Hwy, Oakville, California",38.437357,-122.402946
Puerto Vallerta Market,1009 Foothill Blvd.,Calistoga,California,"1009 Foothill Blvd., Calistoga, California",38.5747108,-122.5795599
Raley's #319(Napa),217 Soscol Ave.,Napa,California,"217 Soscol Ave., Napa, California",38.2834315,-122.2776174
Ranch Market,4215 Solano,Napa,California,"4215 Solano, Napa, California",38.3362058,-122.3231739
Ranch Market Too!,6498 Washington St.,Yountville,California,"6498 Washington St., Yountville, California",38.4006361,-122.3594155
"Safeway #2449 Jefferson, Napa",3375 Jefferson Square,Napa,California,"3375 Jefferson Square, Napa, California",38.3212907,-122.3017161
Safeway #2605 - St. Helena,1026 Hunt Ave.,St Helena,California,"1026 Hunt Ave., St Helena, California",38.5058606,-122.4680884
"Safeway #732 Jefferson Sq,Napa",3375 Jefferson Square,Napa,California,"3375 Jefferson Square, Napa, California",38.3212907,-122.3017161
St. Helena Hospital Gift Shop,10 Woodland Rd.,St Helena,California,"10 Woodland Rd., St Helena, California",38.5425498,-122.4748281
Station Mkt,1153 Main St.,St Helena,California,"1153 Main St., St Helena, California",38.5035166,-122.4678745
Sunshine Mkt. - St. Helena,1115 Main St.,St Helena,California,"1115 Main St., St Helena, California",38.5027302,-122.4676882
V. Sattui Winery,1111 White Lane,St. Helena,California,"1111 White Lane, St. Helena, California",38.4890009,-122.4481801
Vallerga's #2 (Redwood),45 Lynn Drive,Napa,California,"45 Lynn Drive, Napa, California",38.3162688,-122.3311896
Andronico's #6-Los Altos,690 Los Altos Rancho,Los Altos,California,"690 Los Altos Rancho, Los Altos, California",37.3608389,-122.0969921
Bianchini's Mkt - Alpine Rd.,3130 Alpine Rd,Portola Valley,California,"3130 Alpine Rd, Portola Valley, California",37.4023519,-122.1931182
Bianchini's Mkt - San Carlos,810 Laurel St.,San Carlos,California,"810 Laurel St., San Carlos, California",37.5032121,-122.2579002
Coastside Market,501 Virginia Ave,Moss Beach,California,"501 Virginia Ave, Moss Beach, California",37.5275185,-122.5127431
Delucchi's Market,3640 Florence St.,Redwood City,California,"3640 Florence St., Redwood City, California",37.4782334,-122.1884527
